show_id,type_show,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description_show
3082,movie,The Black Godfather,Bruce Leddy,"Clarence Avant,Quincy Jones",United States,2019-06-07,2019,TV-MA,118 minutes,"Documentaries, Music & Musicals","This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics."
3083,movie,Alles ist gut,Indefinido,"Aenne Schwarz,Andreas Döhler,Hans Löw,Lina Wendel,Tilo Nest",Germany,2019-06-06,2019,TV-MA,90 minutes,"Dramas, International Movies","A woman sexually assaulted by her new bosss brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body."
3084,movie,A Silent Voice,Indefinido,"Aoi Yuki,Kensho Ono,Miyu Irino,Saori Hayami,Yuki Kaneko",Japan,2019-06-05,2016,TV-14,130 minutes,"Anime Features, International Movies",A former class bully reaches out to the deaf girl hed tormented in grade school. He feels unworthy of redemption but tries to make things right.
3085,TV series,Black Mirror,Indefinido,"Cristin Milioti,Douglas Hodge,Jesse Plemons,Jimmi Simpson,Rosemarie DeWitt",United Kingdom,2019-06-05,2019,TV-MA,5 seasons,"British TV Shows, International TV Shows, TV Dramas","This sci-fi anthology series explores a twisted, high-tech near-future where humanitys greatest innovations and darkest instincts collide."
3086,movie,Cosmos Laundromat: First Cycle,Indefinido,"Pierre Bokma,Reinout Scholten van Aschat",Netherlands,2019-06-04,2015,TV-MA,12 minutes,"Dramas, International Movies, Sci-Fi & Fantasy","Despondent on a desolate island, a suicidal sheep is thrown a lifeline by a quirky salesman, who offers him the gift of a lifetime."
3087,movie,Miranda Sings Live…Your Welcome,Indefinido,Colleen Ballinger,United States,2019-06-04,2019,TV-14,62 minutes,Stand-Up Comedy,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry."""
3088,movie,Silent,Indefinido,Indefinido,United States,2019-06-04,2014,TV-Y,3 minutes,"Children & Family Movies, Sci-Fi & Fantasy","""Silent"" is an animated short film created by Academy Award® winning Moonbot Studios. It celebrates how storytellers, inventors, and technology work together to create cinema magic."
3089,TV series,Documentary Now!,Indefinido,"Bill Hader,Fred Armisen,Helen Mirren",United States,2019-06-03,2019,TV-14,3 seasons,TV Comedies,"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line."""
309,TV series,Ginny & Georgia,Susan Lacy,"Antonia Gentry,Brianne Howey,Diesel La Torraca,Felix Mallard,Jennifer Robertson",United States,2021-02-24,2021,TV-14,1 seasons,"Romantic TV Shows, TV Comedies, TV Dramas","Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy."
3090,movie,Bartkowiak,Yuki Yamato,"Bartłomiej Topa,Janusz Chabior,Józef Pawłowski,Szymon Bobrowski,Zofia Domalik",Poland,2021-07-28,2021,TV-MA,92 minutes,"Action & Adventure, International Movies","After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his siblings death wasn’t an accident."
3091,TV series,Malibu Rescue: The Series,Andrew Wessels,"Abby Donnelly,Alkoya Brunson,Breanna Yde,Jackie R. Jacobson,Ricardo Hurtado",United States,2019-06-03,2019,TV-G,1 seasons,"Kids TV, TV Action & Adventure, TV Comedies","On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs."
3092,TV series,Arthdal Chronicles,Emir Kusturica,"Jang Dong-gun,Kim Eui-sung,Kim Ji-won,Kim Ok-vin,Song Joong-ki",South Korea,2019-06-02,2019,TV-MA,1 seasons,"International TV Shows, Korean TV Shows, TV Action & Adventure","In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society."
3093,movie,Krutant,Indefinido,"Sandeep Kulkarni,Sayli Patil,Suyog Rajendra Gorhe,Vidya Karanjikar",India,2019-06-02,2019,TV-14,114 minutes,"Dramas, International Movies","When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life."
3094,TV series,A Thousand Goodnights,Odunlade Adekola,"Chen Bor-jeng,Cindy Lien,Li Chung-lin,Nicholas Teo,Yao Ai-ning",Taiwan,2019-06-01,2019,TV-14,1 seasons,"International TV Shows, TV Dramas","To carry out her dads wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way."
3095,movie,III Smoking Barrels,Elisa Fuksas,"Amrita Chattopadhyay,Indraneil Sengupta,Mandakini Goswami,Nalneesh Neel,Subrat Dutta",India,2019-06-01,2017,TV-MA,128 minutes,"Dramas, Independent Movies, International Movies","In three stories set in Northeast India, a child goes on the run, a young adult falls in with the wrong crowd and a desperate man turns to crime."
3096,TV series,March Comes in Like a Lion,Indefinido,"Ai Kayano,Kana Hanazawa,Kengo Kawanishi,Misaki Kuno,Nobuhiko Okamoto",Japan,2019-06-01,2017,TV-14,2 seasons,"Anime Series, International TV Shows, Teen TV Shows","Orphaned young, a reclusive 17-year-old professional shogi player starts to come out of his shell when three sisters take him under their wing."
3097,movie,"Oh, Ramona!",Lee Toland Krieger,"Aggy K. Adams,Basil Eidenbenz,Bogdan Iancu,Holly Horne,Melanie Ebanks",Romania,2019-06-01,2019,TV-MA,109 minutes,"Comedies, International Movies",Awkward 16-year-old Andrei is infatuated with his alluring but aloof schoolmate Ramona – until he meets stunning hotel clerk Anemona while on vacation.
3098,movie,We Are Legends,Tony Giglio,"Eric Kot,Lam Yiu-sing,Ma Chi Wai,Wiyona Yeung,Yuen Qiu",Hong Kong,2019-06-01,2019,TV-14,109 minutes,"Action & Adventure, International Movies, Sports Movies","Raised in a boxing gym, two orphaned brothers become highly skilled martial artists and must combat threats in the streets and the ring."
3099,TV series,Bad Blood,"Akiyuki Shinbo, Nobuyuki Takeuchi","Anthony LaPaglia,Enrico Colantoni,Kim Coates,Maxim Roy,Paul Sorvino",Canada,2019-05-31,2019,TV-MA,2 seasons,"Crime TV Shows, TV Dramas","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades."
31,movie,Arlo the Alligator Boy,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Brett Gelman,Jonathan Van Ness,Mary Lambert,Michael J. Woodard,Tony Hale",United States,2021-04-16,2021,TV-Y7,93 minutes,"Children & Family Movies, Comedies, Music & Musicals","To find the father he never knew, optimistic Arlo leaves his swampy Southern home for New York City, making friends along the way. A musical adventure."
310,movie,M8 - When Death Rescues Life,Indefinido,"Bruno Peixoto,Fábio Beltrão,Giulia Gayoso,Juan Paiva,Mariana Nunes",Indefinido,2021-02-24,2019,TV-MA,84 minutes,"Dramas, International Movies","When Maurício becomes a student at a top medical school, he becomes obsessed with a mystery linked to the dead bodies used for dissection."
3100,movie,Chopsticks,Ron Oliver,"Abhay Deol,Mithila Palkar,Vijay Raaz",India,2019-05-31,2019,TV-MA,101 minutes,"Comedies, Dramas, Independent Movies",A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.
3101,movie,Fantastic Fungi,Don Michael Paul,Indefinido,United States,2021-07-28,2019,TV-14,81 minutes,Documentaries,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
3102,TV series,Killer Ratings,"Shojiro Nishimi, Guillaume Renard",Indefinido,Indefinido,2019-05-31,2019,TV-MA,1 seasons,"Crime TV Shows, Docuseries, International TV Shows",Brazilian TV personality and politician Wallace Souza faces accusations of masterminding the violent crimes he reported on and rallied against.
3103,movie,Mere Pyare Prime Minister,J.D. Dillard,"Anjali Patil,Makrand Deshpande,Niteesh Wadhwa,Om Kanojiya,Syna Anand",India,2019-05-31,2019,TV-MA,103 minutes,"Dramas, International Movies","When his mother suffers a traumatic incident, a boy from the Mumbai slums treks to Delhi to deliver his written plea for justice to the Prime Minister."
3104,movie,Pegasus,Indefinido,"Johnny Huang,Shen Teng,Yin Fang,Yin Zheng,Zhang Benyu",China,2019-05-31,2019,TV-MA,98 minutes,"Comedies, Dramas, International Movies","After a five-year suspension, a once-legendary race car driver decides to get back in the game against a new generation of opponents."
3105,TV series,When They See Us,Pepe Bojórquez,"Asante Blackk,Caleel Harris,Ethan Herisse,Jharrel Jerome,Marquis Rodriguez",United States,2019-05-31,2019,TV-MA,1 seasons,"Crime TV Shows, TV Dramas",Five teens from Harlem become trapped in a nightmare when theyre falsely accused of a brutal attack in Central Park. Based on the true story.
3106,movie,Svaha: The Sixth Finger,Rhys Thomas,"Jung Jin-young,Lee Jae-in,Lee Jung-jae,Park Jung-min,Yoo Ji-tae",South Korea,2019-05-30,2019,TV-MA,123 minutes,"International Movies, Thrillers",A minister who researches religious cults turns to his Buddhist monk friend for help investigating a new group with mysterious origins.
3107,TV series,Historical Roasts,Indefinido,"Bob Saget,James Adomian,Jeff Ross,Jerry Minor,Rachel Feinstein",United States,2019-05-27,2019,TV-MA,1 seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world."
3108,movie,After Maria,David M. Rosenthal,Indefinido,United States,2019-05-24,2019,TV-PG,38 minutes,Documentaries,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families uncertain futures as their federal housing aid in New York expires."
3109,TV series,Hyper HardBoiled Gourmet Report,Indefinido,Kazutoyo Koyabu,Indefinido,2019-05-24,2017,TV-MA,1 seasons,"Docuseries, International TV Shows","To live is to eat. For people around the world in precarious and dangerous circumstances, eating itself is dangerous, precarious – and essential."
311,TV series,Two Sentence Horror Stories,Billy Corben,"Christopher Shyer,Jim Parrack,Kimberley Wong,Nicole Kang,Tara Pacheco",United States,2021-02-24,2021,TV-14,2 seasons,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.
3110,movie,Joy,Louise Alston,"Angela Ekeleme,Anwulika Alphonsus,Mariam Precious Sanusi",Austria,2019-05-24,2019,TV-MA,101 minutes,"Dramas, Independent Movies, International Movies","Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom."
3111,movie,Rim of the World,Sunkanmi Adebayo,"Alessio Scalzotto,Andrew Bachelor,Benjamin Flores Jr.,Jack Gore,Miya Cech",United States,2019-05-24,2019,TV-14,99 minutes,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world."
3112,TV series,Angry Birds,Indefinido,"Antti Pääkkönen,Heljä Heikkinen,Lynne Guaglione,Pasi Ruohonen,Rauno Ahonen",Finland,2021-09-16,2018,TV-Y7,1 seasons,"Kids TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
3113,TV series,Tattoo Redo,Omoni Oboli,Indefinido,Indefinido,2021-07-28,2021,TV-MA,1 seasons,Reality TV,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients loved ones."
3114,TV series,Shes Gotta Have It,Falz,"Anthony Ramos,Chyna Layne,Cleo Anthony,DeWanda Wise,Lyriq Bent",United States,2019-05-24,2018,TV-MA,2 seasons,"Romantic TV Shows, TV Comedies, TV Dramas",Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.
3115,movie,The Perfection,Frank Rajah Arase,"Alaina Huffman,Allison Williams,Logan Browning,Mark Kandborg,Steven Weber",United States,2019-05-24,2019,TV-MA,91 minutes,"Horror Movies, LGBTQ Movies, Music & Musicals","In this twisty horror-thriller, a once-promising music prodigy reconnects with her former mentors, only to find them taken with a talented new pupil."
3116,TV series,WHAT / IF,Omoni Oboli,"Blake Jenner,Jane Levy,Keith Powers,Renée Zellweger,Samantha Marie Ware",United States,2019-05-24,2019,TV-MA,1 seasons,"TV Dramas, TV Thrillers","Desperate to secure funding for her med tech startup, an idealistic scientist and her husband strike an outrageous deal with a mysterious investor."
3117,movie,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Fernando Meirelles,"Akiva Schaffer,Andy Samberg,Hannah Simone,Jenny Slate,Jorma Taccone",Indefinido,2019-05-23,2019,TV-MA,30 minutes,"Comedies, Music & Musicals, Sports Movies",The Lonely Island spoofs notorious baseball stars Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers 1980s heyday.
3118,movie,A Tale of Two Kitchens,Indefinido,Indefinido,"United States, Mexico",2019-05-22,2019,TV-PG,30 minutes,"Documentaries, International Movies","Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture."
3119,movie,The Man Who Feels No Pain,Rodrigo Reyes,"Abhimanyu Dassani,Gulshan Devaiah,Jimit Trivedi,Mahesh Manjrekar,Radhika Madan",India,2019-05-22,2018,TV-14,137 minutes,"Action & Adventure, Comedies, International Movies","Leveraging his ability to withstand pain, a young man trains to follow in the footsteps of his martial-arts hero in this high-action, meta comedy."
312,movie,Brian Regan: On the Rocks,Indefinido,Brian Regan,United States,2021-02-23,2021,TV-G,58 minutes,Stand-Up Comedy,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins."
3120,movie,Wanda Sykes: Not Normal,Indefinido,Wanda Sykes,United States,2019-05-21,2019,TV-MA,66 minutes,Stand-Up Comedy,"Wanda Sykes tackles politics, reality TV, racism and the secret shed take to the grave in this rollicking, no-holds-barred stand-up special."
3121,TV series,Prince of Peoria,Indefinido,"Cynthia Kaye McWilliams,Gavin Lewis,Shelby Simmons,Theodore Barnes",United States,2019-05-20,2019,TV-G,2 seasons,"Kids TV, TV Comedies",A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son.
3122,TV series,Rosario Tijeras,Mark Lewis,"Antonio Gaona,Bárbara de Regil,Hernán Mendoza,José María de Tavira,Vanessa Bauche",Mexico,2019-05-20,2018,TV-MA,2 seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.
3123,TV series,1994,Indefinido,Indefinido,Mexico,2019-05-17,2019,TV-MA,1 seasons,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
3124,TV series,The Flash,Sebastian DiNatale,"Candice Patton,Carlos Valdes,Danielle Panabaker,Grant Gustin,Tom Cavanagh",United States,2021-07-28,2021,TV-14,7 seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
3125,movie,Born in Gaza,"Nuhash Humayun, Syed Ahmed Shawki, Rahat Rahman, Robiul Alam Robi, Golam Kibria Farooki, Mir Mukarram Hossain, Tanvir Ahsan, Mahmudul Islam, Abdullah Al Noor, Krishnendu Chattopadhyay, Syed Saleh Ahmed Sobhan",Indefinido,Spain,2019-05-17,2014,TV-14,70 minutes,"Documentaries, International Movies",This documentary focuses on the devastating violence of the Israel-Palestine conflict and its effects on the children of Gaza.
3126,movie,Born in Syria,Tom Hooper,Indefinido,"Denmark, Spain",2019-05-17,2016,TV-14,87 minutes,"Documentaries, International Movies",This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.
3127,movie,Dying to Tell,Karan Anshuman,Indefinido,Spain,2019-05-17,2018,TV-MA,88 minutes,"Documentaries, International Movies","Seeking answers after a life-changing incident in 2012, filmmaker Hernán Zin interviews other war reporters about the personal toll of their work."
3128,TV series,Its Bruno!,Indefinido,"Adriane Lenox,Jade Eshete,Rob Morgan,Shakira Barrera,Solvan ""Slick"" Naim",United States,2019-05-17,2019,TV-MA,1 seasons,TV Comedies,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno – and making sure the neighbors show his pooch the proper respect."
3129,movie,Maria,Indefinido,"Cristine Reyes,Freddie Webb,Germaine De Leon,KC Montero,Ronnie Lazaro",Philippines,2019-05-17,2019,TV-MA,90 minutes,"Action & Adventure, International Movies","An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts."
313,movie,A Cinderella Story,Indefinido,"Chad Michael Murray,Dan Byrd,Hilary Duff,Jennifer Coolidge,Regina King","United States, Canada",2021-09-01,2004,PG,95 minutes,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmothers diner. Can her lost cell phone bring them together?
3130,movie,ReMastered: The Lions Share,Indefinido,Indefinido,Indefinido,2019-05-17,2019,TV-14,84 minutes,"Documentaries, Music & Musicals","After discovering the family of Solomon Linda, the writer of ""The Lion Sleeps Tonight,"" a reporter tries to help them fight for fair compensation."
3131,movie,Saverio Raimondo: Il Satiro Parlante,Obi Emelonye,Saverio Raimondo,Italy,2019-05-17,2019,TV-MA,53 minutes,Stand-Up Comedy,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights."
3132,movie,See You Yesterday,Farhan Akhtar,"Astro,Dante Crichlow,Eden Duncan-Smith,Johnathan Nieves,Marsha Stephanie Blake",United States,2019-05-17,2019,TV-MA,87 minutes,"Dramas, Sci-Fi & Fantasy, Thrillers","As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past."
3133,TV series,White Gold,Zoya Akhtar,"Ed Westwick,James Buckley,Joe Thomas,Lauren ORourke,Linzey Cocker",United Kingdom,2019-05-17,2019,TV-MA,2 seasons,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
3134,movie,Good Sam,Farhan Akhtar,"Chad Connell,Jesse Camacho,Marco Grazzini,Mark Camacho,Tiya Sircar",United States,2019-05-16,2019,TV-PG,90 minutes,"Children & Family Movies, Dramas",A curious reporter finds love while pursuing the story of a mysterious figure whos leaving bags of cash for strangers around New York City.
3135,TV series,The Snitch Cartel: Origins,Farhan Akhtar,"Juan Pablo Urrego,María Camila Zárate,Patricia Tamayo,Sebastián Osorio,Verónica Velásquez",Indefinido,2021-07-28,2021,TV-MA,1 seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
3136,movie,Jonaki,Mrighdeep Singh Lamba,"Indrajit Sinha,Jim Sarbh,Lolita Chatterjee,Ratnabali Bhattacharjee,Sumanto Chattopadhyay",India,2019-05-16,2018,TV-MA,96 minutes,"Dramas, Independent Movies, International Movies","In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux."
3137,movie,PATRICK (2019),Abhinay Deo,"Beattie Edmondson,Ed Skrein,Jennifer Saunders,Tom Bennett",United Kingdom,2019-05-16,2019,TV-PG,94 minutes,"Children & Family Movies, Comedies","When a schoolteacher inherits an adorable pug, she has to find a way to take care of it while dealing with her flatlining love life."
3138,TV series,Dennis and Gnasher Unleashed,Tsutomu Mizushima,"Freddie Fox,Joanna Ruiz,Kathryn Drysdale,Rasmus Hardiker,Ryan Sampson",United Kingdom,2019-05-15,2017,TV-Y,1 seasons,"British TV Shows, Kids TV, TV Comedies","Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown."
3139,movie,Hamid,Fernando Ayllón,"Bashir Lone,Rasika Dugal,Sumit Kaul,Talha Arshad Reshi,Vikas Kumar",India,2019-05-15,2018,TV-MA,108 minutes,"Dramas, Independent Movies, International Movies","Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up."
314,movie,Made You Look: A True Story About Fake Art,Indefinido,Indefinido,Canada,2021-02-23,2020,TV-14,90 minutes,"Documentaries, International Movies","A woman walks into a New York gallery with a cache of unknown masterworks. Thus begins a story of art world greed, willfulness and a high-stakes con."
3140,TV series,"Heidi, bienvenida a casa",Reema Kagti,"Chiara Francia,Florencia Benítez,Mario Guerci,Mercedes Lambre,Victorio DAlessandro",Argentina,2019-05-15,2017,TV-Y,1 seasons,"Kids TV, Spanish-Language TV Shows","Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city."
3141,TV series,I Hear You,Jadesola Osiberu,"Gratitude Dai,Riley Wang,Yuan Hao,Zhang Jiongmin,Zhao Lusi",Indefinido,2019-05-15,2019,TV-14,1 seasons,"International TV Shows, Romantic TV Shows, TV Dramas","Love blooms between a bubbly, aspiring voice actress and a cool, enigmatic violin-maker after they cross paths on a reality TV show."
3142,movie,Backdraft 2,Vijay Lalwani,"Alastair Mackenzie,Alisha Bailey,Donald Sutherland,Joe Anderson,William Baldwin",United States,2019-05-14,2019,R,102 minutes,"Action & Adventure, Dramas","In this sequel to the 1991 film, a determined fire investigator recruits an imprisoned arsonist to help untangle a web of fire, murder and corruption."
3143,TV series,Revisions,Farhan Akhtar,"Koki Uchiyama,Manaka Iwami,Mikako Komatsu,Nobunaga Shimazaki,Rie Takahashi",Japan,2019-05-14,2018,TV-14,1 seasons,"Anime Series, International TV Shows","When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions."
3144,movie,Still LAUGH-IN: The Stars Celebrate,Zoya Akhtar,"Lily Tomlin,Michael Douglas,Neil Patrick Harris,Snoop Dogg,Tiffany Haddish",United States,2019-05-14,2019,TV-MA,61 minutes,Comedies,"This celebration of the groundbreaking comedy show ""Laugh-In"" stars Lily Tomlin, Snoop Dogg, Billy Crystal, Tiffany Haddish, Neil Patrick Harris and more."
3145,movie,Weed the People,Shirley Frimpong-Manso,Indefinido,United States,2019-05-14,2018,TV-MA,94 minutes,Documentaries,"Buoyed by hopeful experiences with medical marijuana, physicians and parents of children with cancer call for more research of its healing potential."
3146,TV series,All American,Abhishek Kapoor,"Bre-Z,Daniel Ezra,Greta Onieogou,Samantha Logan,Taye Diggs",United States,2021-07-27,2021,TV-14,3 seasons,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
3147,movie,Malibu Rescue,Indefinido,"Abby Donnelly,Alkoya Brunson,Breanna Yde,Jackie R. Jacobson,Ricardo Hurtado",United States,2019-05-13,2019,TV-G,70 minutes,"Children & Family Movies, Comedies","When a long list of shenanigans lands Tyler in hot water, he’s forced to suit up and spend his summer training for an elite junior lifeguard program."
3148,movie,Merata: How Mum Decolonised the Screen,Reema Kagti,Hepi Mita,New Zealand,2019-05-12,2018,TV-14,88 minutes,Documentaries,New Zealand film archivist Heperi Mita traces the cinematic legacy of his mother and trailblazing Maori filmmaker Merata Mita.
3149,TV series,The Defected,Indefinido,"Benjamin Yuen,Hui Shiu Hung,Kara Hui,Philip Keung,Sisley Choi","China, Hong Kong",2019-05-12,2019,TV-14,1 seasons,"Crime TV Shows, International TV Shows, TV Dramas","After surviving a near-fatal injury on the job, a cop sets out to investigate a conspiracy involving the top brass of the police department."
315,movie,Pelé,James Mangold,Indefinido,United Kingdom,2021-02-23,2021,TV-14,109 minutes,"Documentaries, International Movies, Sports Movies","Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero."
3150,movie,Dry Martina,Zoya Akhtar,"Álvaro Espinosa,Antonella Costa,Geraldine Neary,Patricio Contreras,Pedro Campos","Chile, Argentina",2019-05-11,2018,TV-MA,100 minutes,"Dramas, Independent Movies, International Movies",An odd encounter with a fan and a tryst with that fans ex-boyfriend leads a sexually adventurous singer on an escapade in Chile.
3151,movie,Shéhérazade,Michael Bay,"Dylan Robert,Idir Azougli,Kenza Fortas,Lisa Amedjout,Sofia Bent",France,2019-05-11,2019,TV-MA,111 minutes,"Dramas, Independent Movies, International Movies","Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp."
3152,movie,The Great Magician,Robert O. Peters,"Lau Ching Wan,Ni Yan,Tony Leung Chiu Wai,Wu Gang,Zhou Xun","Hong Kong, China",2019-05-11,2011,TV-14,128 minutes,"Action & Adventure, Comedies, Dramas","In 1920s Beijing, a host of talented performers gather to show off their skills. The challenge: reproduce a magic trick called the Eight Immortals."
3153,TV series,Easy,Bunmi Ajakaiye,"Aubrey Plaza,Jane Adams,Judy Greer,Kate Berlant,Zazie Beetz",United States,2019-05-10,2019,TV-MA,3 seasons,"TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture."
3154,movie,In Family I Trust,Omoni Oboli,"Álex García,Alexandra Jiménez,Carmen Maura,Clara Lago,Paula Malia",Spain,2019-05-10,2018,TV-MA,98 minutes,"Comedies, Dramas, International Movies","After her partner cheats on her, an architect returns to her hometown to reassess her life with the help of her eccentric family. Based on the novel."
3155,TV series,Jailbirds,Biodun Stephen,Indefinido,Indefinido,2019-05-10,2019,TV-MA,1 seasons,"Docuseries, Reality TV","At the Sacramento County Jail, incarcerated women fight the power and one another as they try to make the best of life – and love – on the inside."
3156,TV series,The Mechanism,Ding-Lin Wang,"Antonio Saboia,Caroline Abras,Enrique Diaz,Lee Taylor,Selton Mello",Brazil,2019-05-10,2019,TV-MA,2 seasons,"Crime TV Shows, International TV Shows, TV Dramas",A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
3157,movie,Department,Robert O. Peters,"Abhimanyu Singh,Amitabh Bachchan,Rana Daggubati,Sanjay Dutt,Vijay Raaz",India,2021-07-27,2012,TV-MA,143 minutes,"Action & Adventure, International Movies","Two cops form a task force to take down two mobsters, but when a sinister politician enters the picture, dubious loyalties and motives come to light."
3158,TV series,The Princess Weiyoung,Richard vant Riet,"Hsin Ai Lee,Luo Jin,Rachel Momo,Tiffany Tang,Vanness Wu",China,2019-05-10,2016,TV-14,1 seasons,"International TV Shows, Romantic TV Shows, TV Dramas",A princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.
3159,TV series,The Society,Shonali Bose,"Gideon Adlon,Jacques Colimon,Kathryn Newton,Natasha Liu Bordizzo,Sean Berdy",United States,2019-05-10,2019,TV-MA,1 seasons,"TV Dramas, Teen TV Shows","When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive."
316,movie,Red,Chineze Anyaene,"Amritha Aiyer,Malvika Sharma,Nivetha Pethuraj,Ram Pothineni,Sampath Raj",India,2021-02-23,2021,TV-14,143 minutes,"Dramas, International Movies","A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky."
3160,movie,Wine Country,Sameh Abdulaziz,"Amy Poehler,Ana Gasteyer,Maya Rudolph,Paula Pell,Rachel Dratch",United States,2019-05-10,2019,R,104 minutes,Comedies,"When longtime friends meet up for a wine-soaked birthday getaway in Napa Valley, their perfectly planned weekend turns messier by the minute."
3161,movie,Gatao 2: Rise of the King,Lance Bangs,"Collin Chou,Jack Kao,Jason Wang,Lu Hsueh-feng,Tsai Chen-nan",Taiwan,2019-05-09,2018,TV-MA,126 minutes,"Action & Adventure, Dramas, International Movies","When a zealous gang leader plans to take out a friend-turned-rival for control of his turf, internal tensions complicate the battle to be the boss."
